algorithm,benchmark,dim,seed,best_fitness,fe_used
AO-PSO,Rastrigin,10,16,0.0,20007
AO-PSO,Rastrigin,10,17,0.0,20018
AO-PSO,Rastrigin,10,18,0.0,20033
AO-PSO,Rastrigin,10,19,0.0,20017
AO-PSO,Rastrigin,10,20,0.0,20006
AO-PSO,Rastrigin,10,21,0.0,20017
AO-PSO,Rastrigin,10,22,0.0,20016
AO-PSO,Rastrigin,10,23,0.0,20015
AO-PSO,Rastrigin,10,24,0.0,20014
AO-PSO,Rastrigin,10,25,0.0,20015
AO-PSO,Rastrigin,10,26,0.0,20019
AO-PSO,Rastrigin,10,27,0.0,20003
AO-PSO,Rastrigin,10,28,0.0,20019
AO-PSO,Rastrigin,10,29,0.0,20005
PSO,Griewank,10,0,0.1967504037199348,20000
PSO,Griewank,10,1,0.09585879547767906,20000
PSO,Griewank,10,2,0.07380315236482271,20000
PSO,Griewank,10,3,0.06641942331607464,20000
PSO,Griewank,10,4,0.0506872636284188,20000
PSO,Griewank,10,5,0.04680057651718317,20000
PSO,Griewank,10,6,0.11309243328556329,20000
PSO,Griewank,10,7,0.03935306837554953,20000
PSO,Griewank,10,8,0.06394842767014752,20000
PSO,Griewank,10,9,0.2339392366178059,20000
PSO,Griewank,10,10,0.09845752310950706,20000
PSO,Griewank,10,11,0.034462404160991444,20000
PSO,Griewank,10,12,0.06399249958424402,20000
PSO,Griewank,10,13,0.14015630256488243,20000
PSO,Griewank,10,14,0.07372959450619221,20000
PSO,Griewank,10,15,0.0418338751416113,20000
PSO,Griewank,10,16,0.15010942134437188,20000
PSO,Griewank,10,17,0.09597403405216642,20000
PSO,Griewank,10,18,0.07376639268982477,20000
PSO,Griewank,10,19,0.0885682462858105,20000
PSO,Griewank,10,20,0.05909457522785233,20000
PSO,Griewank,10,21,0.07138118893735146,20000
PSO,Griewank,10,22,0.06158535466068371,20000
PSO,Griewank,10,23,0.03696050623815528,20000
PSO,Griewank,10,24,0.07627918839470427,20000
PSO,Griewank,10,25,0.1600427979499215,20000
PSO,Griewank,10,26,0.08856825859301976,20000
PSO,Griewank,10,27,0.12548705069426658,20000
PSO,Griewank,10,28,0.05415486223100563,20000
PSO,Griewank,10,29,0.024637061060163723,20000
O-PSO,Griewank,10,0,0.12309684298316614,20000
O-PSO,Griewank,10,1,0.0565694776569059,20000
O-PSO,Griewank,10,2,0.1303703123639519,20000
O-PSO,Griewank,10,3,0.16978208858638022,20000
O-PSO,Griewank,10,4,0.07869381439005652,20000
O-PSO,Griewank,10,5,0.11809843602790726,20000
O-PSO,Griewank,10,6,0.09592252353000263,20000
O-PSO,Griewank,10,7,0.20182265462090765,20000
O-PSO,Griewank,10,8,0.0787282069576909,20000
O-PSO,Griewank,10,9,0.03199872245312152,20000
O-PSO,Griewank,10,10,0.13540317401117408,20000
O-PSO,Griewank,10,11,0.06143809294319791,20000
O-PSO,Griewank,10,12,0.14264690643259048,20000
O-PSO,Griewank,10,13,0.09588082042999335,20000
O-PSO,Griewank,10,14,0.09843531818834983,20000
O-PSO,Griewank,10,15,0.10332843533459157,20000
O-PSO,Griewank,10,16,0.11564433350098458,20000
O-PSO,Griewank,10,17,0.10081568718408784,20000
O-PSO,Griewank,10,18,0.039382435243166425,20000
O-PSO,Griewank,10,19,0.1156641466377657,20000
O-PSO,Griewank,10,20,0.07136899326292367,20000
O-PSO,Griewank,10,21,0.061482148151895455,20000
O-PSO,Griewank,10,22,0.09591520835967571,20000
O-PSO,Griewank,10,23,0.13294695759703,20000
O-PSO,Griewank,10,24,0.2901943881795822,20000
O-PSO,Griewank,10,25,0.09339513342288575,20000
O-PSO,Griewank,10,26,0.1106948508628145,20000
O-PSO,Griewank,10,27,0.06652015658680743,20000
O-PSO,Griewank,10,28,0.0884898154913315,20000
O-PSO,Griewank,10,29,0.1623982968633142,20000
AO-PSO,Griewank,10,0,0.0,20011
AO-PSO,Griewank,10,1,0.0,20001
AO-PSO,Griewank,10,2,0.0,20006
AO-PSO,Griewank,10,3,0.0,20017
AO-PSO,Griewank,10,4,0.0,20017
AO-PSO,Griewank,10,5,0.0,20022
AO-PSO,Griewank,10,6,0.0,20000
AO-PSO,Griewank,10,7,0.0,20007
AO-PSO,Griewank,10,8,0.0,20006
AO-PSO,Griewank,10,9,0.0,20016
AO-PSO,Griewank,10,10,0.0,20018
AO-PSO,Griewank,10,11,0.0,20003
AO-PSO,Griewank,10,12,0.0,20004
AO-PSO,Griewank,10,13,0.0,20022
AO-PSO,Griewank,10,14,0.0,20002
AO-PSO,Griewank,10,15,0.0,20020
AO-PSO,Griewank,10,16,0.0,20012
AO-PSO,Griewank,10,17,0.0,20016
AO-PSO,Griewank,10,18,0.0,20004
AO-PSO,Griewank,10,19,0.0,20020
AO-PSO,Griewank,10,20,0.0,20005
AO-PSO,Griewank,10,21,0.0,20023
AO-PSO,Griewank,10,22,0.0,20018
AO-PSO,Griewank,10,23,0.0,20013
AO-PSO,Griewank,10,24,0.0,20011
AO-PSO,Griewank,10,25,0.0,20015
AO-PSO,Griewank,10,26,0.0,20007
AO-PSO,Griewank,10,27,0.0,20002
AO-PSO,Griewank,10,28,0.0,20015
AO-PSO,Griewank,10,29,0.0,20001
PSO,Ackley,10,0,3.9968028886505635e-15,20000
PSO,Ackley,10,1,3.9968028886505635e-15,20000
PSO,Ackley,10,2,7.549516567451064e-15,20000
PSO,Ackley,10,3,3.9968028886505635e-15,20000
PSO,Ackley,10,4,3.9968028886505635e-15,20000
PSO,Ackley,10,5,3.9968028886505635e-15,20000
PSO,Ackley,10,6,3.9968028886505635e-15,20000
PSO,Ackley,10,7,3.9968028886505635e-15,20000
PSO,Ackley,10,8,7.549516567451064e-15,20000
PSO,Ackley,10,9,3.9968028886505635e-15,20000
PSO,Ackley,10,10,3.9968028886505635e-15,20000
PSO,Ackley,10,11,1.646223633103109,20000
PSO,Ackley,10,12,2.3168487918475873,20000
PSO,Ackley,10,13,3.9968028886505635e-15,20000
PSO,Ackley,10,14,3.9968028886505635e-15,20000
PSO,Ackley,10,15,3.9968028886505635e-15,20000
PSO,Ackley,10,16,1.155148502709825,20000
PSO,Ackley,10,17,3.9968028886505635e-15,20000
PSO,Ackley,10,18,7.549516567451064e-15,20000
PSO,Ackley,10,19,1.155148502709825,20000
PSO,Ackley,10,20,3.9968028886505635e-15,20000
PSO,Ackley,10,21,3.9968028886505635e-15,20000
PSO,Ackley,10,22,3.9968028886505635e-15,20000
PSO,Ackley,10,23,7.549516567451064e-15,20000
PSO,Ackley,10,24,1.155148502709825,20000
PSO,Ackley,10,25,3.9968028886505635e-15,20000
PSO,Ackley,10,26,3.9968028886505635e-15,20000
PSO,Ackley,10,27,3.9968028886505635e-15,20000
PSO,Ackley,10,28,3.9968028886505635e-15,20000
PSO,Ackley,10,29,1.155148502709825,20000
O-PSO,Ackley,10,0,3.9968028886505635e-15,20000
O-PSO,Ackley,10,1,3.9968028886505635e-15,20000
O-PSO,Ackley,10,2,3.9968028886505635e-15,20000
O-PSO,Ackley,10,3,3.9968028886505635e-15,20000
O-PSO,Ackley,10,4,7.549516567451064e-15,20000
O-PSO,Ackley,10,5,3.9968028886505635e-15,20000
O-PSO,Ackley,10,6,7.549516567451064e-15,20000
O-PSO,Ackley,10,7,3.9968028886505635e-15,20000
O-PSO,Ackley,10,8,3.9968028886505635e-15,20000
O-PSO,Ackley,10,9,7.549516567451064e-15,20000
O-PSO,Ackley,10,10,3.9968028886505635e-15,20000
O-PSO,Ackley,10,11,3.9968028886505635e-15,20000
O-PSO,Ackley,10,12,3.9968028886505635e-15,20000
O-PSO,Ackley,10,13,2.0133152362557927,20000
O-PSO,Ackley,10,14,3.9968028886505635e-15,20000
O-PSO,Ackley,10,15,3.9968028886505635e-15,20000
O-PSO,Ackley,10,16,3.9968028886505635e-15,20000
O-PSO,Ackley,10,17,3.9968028886505635e-15,20000
O-PSO,Ackley,10,18,3.9968028886505635e-15,20000
O-PSO,Ackley,10,19,1.646223633103109,20000
O-PSO,Ackley,10,20,3.9968028886505635e-15,20000
O-PSO,Ackley,10,21,3.9968028886505635e-15,20000
O-PSO,Ackley,10,22,3.9968028886505635e-15,20000
O-PSO,Ackley,10,23,3.9968028886505635e-15,20000
O-PSO,Ackley,10,24,7.549516567451064e-15,20000
O-PSO,Ackley,10,25,3.9968028886505635e-15,20000
O-PSO,Ackley,10,26,2.0133152362557962,20000
O-PSO,Ackley,10,27,3.9968028886505635e-15,20000
O-PSO,Ackley,10,28,1.155148502709825,20000
O-PSO,Ackley,10,29,3.9968028886505635e-15,20000
AO-PSO,Ackley,10,0,4.440892098500626e-16,20015
AO-PSO,Ackley,10,1,4.440892098500626e-16,20019
AO-PSO,Ackley,10,2,4.440892098500626e-16,20010
AO-PSO,Ackley,10,3,4.440892098500626e-16,20016
AO-PSO,Ackley,10,4,4.440892098500626e-16,20014
AO-PSO,Ackley,10,5,4.440892098500626e-16,20018
AO-PSO,Ackley,10,6,4.440892098500626e-16,20010
AO-PSO,Ackley,10,7,4.440892098500626e-16,20000
AO-PSO,Ackley,10,8,4.440892098500626e-16,20003
AO-PSO,Ackley,10,9,4.440892098500626e-16,20022
AO-PSO,Ackley,10,10,4.440892098500626e-16,20002
AO-PSO,Ackley,10,11,4.440892098500626e-16,20014
AO-PSO,Ackley,10,12,4.440892098500626e-16,20002
AO-PSO,Ackley,10,13,4.440892098500626e-16,20010
AO-PSO,Ackley,10,14,4.440892098500626e-16,20023
AO-PSO,Ackley,10,15,4.440892098500626e-16,20016
AO-PSO,Ackley,10,16,4.440892098500626e-16,20009
AO-PSO,Ackley,10,17,4.440892098500626e-16,20005
AO-PSO,Ackley,10,18,4.440892098500626e-16,20003
AO-PSO,Ackley,10,19,4.440892098500626e-16,20019
AO-PSO,Ackley,10,20,4.440892098500626e-16,20020
AO-PSO,Ackley,10,21,4.440892098500626e-16,20005
AO-PSO,Ackley,10,22,4.440892098500626e-16,20015
AO-PSO,Ackley,10,23,4.440892098500626e-16,20016
AO-PSO,Ackley,10,24,4.440892098500626e-16,20005
AO-PSO,Ackley,10,25,4.440892098500626e-16,20012
AO-PSO,Ackley,10,26,4.440892098500626e-16,20019
AO-PSO,Ackley,10,27,4.440892098500626e-16,20012
AO-PSO,Ackley,10,28,4.440892098500626e-16,20003
AO-PSO,Ackley,10,29,4.440892098500626e-16,20012
PSO,Schwefel,10,0,593.708732584355,20000
PSO,Schwefel,10,1,1310.4069783196474,20000
PSO,Schwefel,10,2,1248.1645692105194,20000
PSO,Schwefel,10,3,1072.0132495786056,20000
PSO,Schwefel,10,4,809.3313424627618,20000
PSO,Schwefel,10,5,950.5407959398353,20000
PSO,Schwefel,10,6,355.3150038433132,20000
PSO,Schwefel,10,7,710.6300076866264,20000
PSO,Schwefel,10,8,692.4100673604898,20000
PSO,Schwefel,10,9,932.3208556136988,20000
PSO,Schwefel,10,10,832.1024613253971,20000
PSO,Schwefel,10,11,932.3208556136983,20000
PSO,Schwefel,10,12,475.2703979699172,20000
PSO,Schwefel,10,13,692.4100673604898,20000
PSO,Schwefel,10,14,888.2983868307074,20000
PSO,Schwefel,10,15,932.3208556136988,20000
PSO,Schwefel,10,16,356.8320633554795,20000
PSO,Schwefel,10,17,830.5854018132304,20000
PSO,Schwefel,10,18,832.1024613253971,20000
PSO,Schwefel,10,19,712.1470671987927,20000
PSO,Schwefel,10,20,692.4100673604908,20000
PSO,Schwefel,10,21,713.6641267109594,20000
PSO,Schwefel,10,22,651.421717601831,20000
PSO,Schwefel,10,23,475.27039796991767,20000
PSO,Schwefel,10,24,809.3313424627618,20000
PSO,Schwefel,10,25,1167.6804653304084,20000
PSO,Schwefel,10,26,692.4100673604903,20000
PSO,Schwefel,10,27,593.708732584355,20000
PSO,Schwefel,10,28,595.2257920965217,20000
PSO,Schwefel,10,29,988.5167811190081,20000
O-PSO,Schwefel,10,0,572.4546732338863,20000
O-PSO,Schwefel,10,1,832.1024613253971,20000
O-PSO,Schwefel,10,2,335.57800400501037,20000
O-PSO,Schwefel,10,3,712.1470671987931,20000
O-PSO,Schwefel,10,4,927.7696770772,20000
O-PSO,Schwefel,10,5,950.5407959398353,20000
O-PSO,Schwefel,10,6,690.893007848324,20000
O-PSO,Schwefel,10,7,830.5854018132304,20000
O-PSO,Schwefel,10,8,1401.5447699797978,20000
O-PSO,Schwefel,10,9,454.01633861944856,20000
O-PSO,Schwefel,10,10,1046.2409131692034,20000
O-PSO,Schwefel,10,11,908.0326772388967,20000
O-PSO,Schwefel,10,12,947.5284313603488,20000
O-PSO,Schwefel,10,13,355.3150038433132,20000
O-PSO,Schwefel,10,14,769.8600522162687,20000
O-PSO,Schwefel,10,15,1310.4069783196478,20000
O-PSO,Schwefel,10,16,631.6847177635282,20000
O-PSO,Schwefel,10,17,927.7696770772,20000
